Table_ID,Cell_ID,Cell_Label,Cell_Label_Tier1,Cell_Label_Tier2,Cell_Label_Tier3,Cell_Label_Tier4,Cell_Label_Tier5,Cell_Label_Short_Tier1,Cell_Label_Short_Tier2,Cell_Label_Short_Tier3,Cell_Label_Short_Tier4,Cell_Label_Short_Tier5,EW_Count,n_Interior_Cells
ts012,ts0120056,Middle East and Asia: Southern Asia: Bangladesh,NA,NA,Middle East and Asia: Southern Asia: Bangladesh,Middle East and Asia: Southern Asia: Bangladesh,Middle East and Asia: Southern Asia: Bangladesh,NA,NA,Bangladesh,Bangladesh,Bangladesh,273042,59
ts012,ts0120057,Middle East and Asia: Southern Asia: Sri Lanka,NA,NA,Middle East and Asia: Southern Asia: Sri Lanka,Middle East and Asia: Southern Asia: Sri Lanka,Middle East and Asia: Southern Asia: Sri Lanka,NA,NA,Sri Lanka,Sri Lanka,Sri Lanka,144296,59
ts012,ts0120058,Middle East and Asia: Southern Asia: Other Southern Asia,NA,NA,Middle East and Asia: Southern Asia: Other Southern Asia,Middle East and Asia: Southern Asia: Other Southern Asia,Middle East and Asia: Southern Asia: Other Southern Asia,NA,NA,Other Southern Asia,Other Southern Asia,Other Southern Asia,79773,59
ts012,ts0120059,Middle East and Asia: South-East Asia,NA,Middle East and Asia: South-East Asia,NA,NA,NA,NA,South-East Asia,NA,NA,NA,388873,59
ts012,ts0120060,Middle East and Asia: South-East Asia: Philippines,NA,NA,Middle East and Asia: South-East Asia: Philippines,Middle East and Asia: South-East Asia: Philippines,Middle East and Asia: South-East Asia: Philippines,NA,NA,Philippines,Philippines,Philippines,155016,59
ts012,ts0120061,Middle East and Asia: South-East Asia: Malaysia,NA,NA,Middle East and Asia: South-East Asia: Malaysia,Middle East and Asia: South-East Asia: Malaysia,Middle East and Asia: South-East Asia: Malaysia,NA,NA,Malaysia,Malaysia,Malaysia,61510,59
ts012,ts0120062,Middle East and Asia: South-East Asia: Singapore,NA,NA,Middle East and Asia: South-East Asia: Singapore,Middle East and Asia: South-East Asia: Singapore,Middle East and Asia: South-East Asia: Singapore,NA,NA,Singapore,Singapore,Singapore,40924,59
ts012,ts0120063,Middle East and Asia: South-East Asia: Other South-East Asia,NA,NA,Middle East and Asia: South-East Asia: Other South-East Asia,Middle East and Asia: South-East Asia: Other South-East Asia,Middle East and Asia: South-East Asia: Other South-East Asia,NA,NA,Other South-East Asia,Other South-East Asia,Other South-East Asia,131423,59
ts012,ts0120064,Middle East and Asia: Central Asia,NA,Middle East and Asia: Central Asia,Middle East and Asia: Central Asia,Middle East and Asia: Central Asia,Middle East and Asia: Central Asia,NA,Central Asia,Central Asia,Central Asia,Central Asia,12545,59
ts012,ts0120065,The Americas and the Caribbean,The Americas and the Caribbean,NA,NA,NA,NA,The Americas and the Caribbean,NA,NA,NA,NA,802630,59
ts012,ts0120066,The Americas and the Caribbean: North America,NA,The Americas and the Caribbean: North America,NA,NA,NA,NA,North America,NA,NA,NA,278303,59
ts012,ts0120067,The Americas and the Caribbean: North America: United States,NA,NA,The Americas and the Caribbean: North America: United States,The Americas and the Caribbean: North America: United States,The Americas and the Caribbean: North America: United States,NA,NA,United States,United States,United States,203281,59
ts012,ts0120068,The Americas and the Caribbean: North America: Canada,NA,NA,The Americas and the Caribbean: North America: Canada,The Americas and the Caribbean: North America: Canada,The Americas and the Caribbean: North America: Canada,NA,NA,Canada,Canada,Canada,69096,59
ts012,ts0120069,The Americas and the Caribbean: North America: Other North America,NA,NA,The Americas and the Caribbean: North America: Other North America,The Americas and the Caribbean: North America: Other North America,The Americas and the Caribbean: North America: Other North America,NA,NA,Other North America,Other North America,Other North America,5926,59
ts012,ts0120070,The Americas and the Caribbean: Central America,NA,The Americas and the Caribbean: Central America,NA,NA,NA,NA,Central America,NA,NA,NA,23573,59
ts012,ts0120071,The Americas and the Caribbean: Central America: All Central American countries,NA,NA,The Americas and the Caribbean: Central America: All Central American countries,The Americas and the Caribbean: Central America: All Central American countries,The Americas and the Caribbean: Central America: All Central American countries,NA,NA,All Central American countries,All Central American countries,All Central American countries,23573,59
ts012,ts0120072,The Americas and the Caribbean: South America,NA,The Americas and the Caribbean: South America,NA,NA,NA,NA,South America,NA,NA,NA,254222,59
ts012,ts0120073,The Americas and the Caribbean: South America: All South American countries,NA,NA,The Americas and the Caribbean: South America: All South American countries,The Americas and the Caribbean: South America: All South American countries,The Americas and the Caribbean: South America: All South American countries,NA,NA,All South American countries,All South American countries,All South American countries,254222,59
ts012,ts0120074,The Americas and the Caribbean: The Caribbean,NA,The Americas and the Caribbean: The Caribbean,NA,NA,NA,NA,The Caribbean,NA,NA,NA,246532,59
ts012,ts0120075,The Americas and the Caribbean: The Caribbean: Jamaica,NA,NA,The Americas and the Caribbean: The Caribbean: Jamaica,The Americas and the Caribbean: The Caribbean: Jamaica,The Americas and the Caribbean: The Caribbean: Jamaica,NA,NA,Jamaica,Jamaica,Jamaica,142154,59
ts012,ts0120076,The Americas and the Caribbean: The Caribbean: Other Caribbean,NA,NA,The Americas and the Caribbean: The Caribbean: Other Caribbean,The Americas and the Caribbean: The Caribbean: Other Caribbean,The Americas and the Caribbean: The Caribbean: Other Caribbean,NA,NA,Other Caribbean,Other Caribbean,Other Caribbean,104378,59
ts012,ts0120077,Antarctica and Oceania,Antarctica and Oceania,NA,NA,NA,NA,Antarctica and Oceania,NA,NA,NA,NA,174596,59
ts012,ts0120078,Antarctica and Oceania: Australasia,NA,Antarctica and Oceania: Australasia,NA,NA,NA,NA,Australasia,NA,NA,NA,162167,59
ts012,ts0120079,Antarctica and Oceania: Australasia: Australia,NA,NA,Antarctica and Oceania: Australasia: Australia,Antarctica and Oceania: Australasia: Australia,Antarctica and Oceania: Australasia: Australia,NA,NA,Australia,Australia,Australia,112971,59
ts012,ts0120080,Antarctica and Oceania: Australasia: New Zealand,NA,NA,Antarctica and Oceania: Australasia: New Zealand,Antarctica and Oceania: Australasia: New Zealand,Antarctica and Oceania: Australasia: New Zealand,NA,NA,New Zealand,New Zealand,New Zealand,49149,59
ts012,ts0120081,Antarctica and Oceania: Australasia: Other Australasia,NA,NA,Antarctica and Oceania: Australasia: Other Australasia,Antarctica and Oceania: Australasia: Other Australasia,Antarctica and Oceania: Australasia: Other Australasia,NA,NA,Other Australasia,Other Australasia,Other Australasia,47,59
ts012,ts0120082,Antarctica and Oceania: Other Oceania and Antarctica,NA,Antarctica and Oceania: Other Oceania and Antarctica,Antarctica and Oceania: Other Oceania and Antarctica,Antarctica and Oceania: Other Oceania and Antarctica,Antarctica and Oceania: Other Oceania and Antarctica,NA,Other Oceania and Antarctica,Other Oceania and Antarctica,Other Oceania and Antarctica,Other Oceania and Antarctica,12429,59
ts012,ts0120083,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,83,59
ts013,ts0130001,Total: All usual residents,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59597540,51
ts013,ts0130002,Europe,Europe,NA,NA,NA,NA,Europe,NA,NA,NA,NA,49745555,51
